year,month,sunspot number
1843,1,22.2
1843,2,5.9
1843,3,13.9
1843,4,15.8
1843,5,35.1
1843,6,17.6
1843,7,15.9
1843,8,19.6
1843,9,6.9
1843,10,8.9
1843,11,31.7
1843,12,21.2
1844,1,15.7
1844,2,24.5
1844,3,22.5
1844,4,34.6
1844,5,19.2
1844,6,6.2
1844,7,35.2
1844,8,39.7
1844,9,11.6
1844,10,35.9
1844,11,17.9
1844,12,36
1845,1,42.8
1845,2,72.8
1845,3,72.1
1845,4,95
1845,5,79.7
1845,6,51.8
1845,7,51
1845,8,53.9
1845,9,49.3
1845,10,67.8
1845,11,65.7
1845,12,99.5
1846,1,64.6
1846,2,84.9
1846,3,106.5
1846,4,115.5
1846,5,99.9
1846,6,108.4
1846,7,77.5
1846,8,91.3
1846,9,178.6
1846,10,93.4
1846,11,100.6
1846,12,109.1
1847,1,104.4
1847,2,74.9
1847,3,143
1847,4,74.6
1847,5,125.7
1847,6,142.2
1847,7,87.1
1847,8,234.3
1847,9,268.2
1847,10,300.6
1847,11,231.5
1847,12,182.6
1848,1,265.2
1848,2,186.4
1848,3,181.2
1848,4,178.6
1848,5,170.5
1848,6,214.9
1848,7,232
1848,8,220.9
1848,9,167.3
1848,10,220.6
1848,11,191
1848,12,265.8
1849,1,298.3
1849,2,250.3
1849,3,182.7
1849,4,194.7
1849,5,153.2
1849,6,154.2
1849,7,148.2
1849,8,128.6
1849,9,178
1849,10,135.7
1849,11,188.2
1849,12,184.3
1850,1,148.2
1850,2,169.8
1850,3,156.8
1850,4,83.8
1850,5,117
1850,6,133
1850,7,74.3
1850,8,117
1850,9,163.7
1850,10,134.9
1850,11,104.1
1850,12,115.9
1851,1,143.5
1851,2,200.1
1851,3,122.8
1851,4,107.3
1851,5,118.9
1851,6,120
1851,7,68.6
1851,8,109
1851,9,128.9
1851,10,118.7
1851,11,96.8
1851,12,135.5
1852,1,129.9
1852,2,126.2
1852,3,116.2
1852,4,124.3
1852,5,104.3
1852,6,89
1852,7,80
1852,8,75.3
1852,9,71.2
1852,10,127.9
1852,11,103.1
1852,12,86.1
1853,1,77.9
1853,2,81.5
1853,3,71.6
1853,4,90.4
1853,5,65.9
1853,6,76
1853,7,87.2
1853,8,95.8
1853,9,63.7
1853,10,80.5
1853,11,54.7
1853,12,44.5
1854,1,29.3
1854,2,38
1854,3,39.4
1854,4,50.3
1854,5,45.6
1854,6,40.1
1854,7,35.5
1854,8,30.1
1854,9,42.6
1854,10,24.1
1854,11,53.5
1854,12,41.1
1855,1,23.4
1855,2,21.6
1855,3,33
1855,4,8.4
1855,5,17.3
1855,6,10
1855,7,0.7
1855,8,5.9
1855,9,0
1855,10,18.3
1855,11,7.9
1855,12,5.8
1856,1,1
1856,2,9.3
1856,3,0.7
1856,4,12.4
1856,5,0
1856,6,9.8
1856,7,8.8
1856,8,11.3
1856,9,8.4
1856,10,8.5
1856,11,14.7
1856,12,13.7
1857,1,26
1857,2,14.2
1857,3,10
1857,4,21.1
1857,5,54.2
1857,6,30.5
1857,7,42.2
